Title,Authour,Description,AzHardcover,AzPaperback,AzEbook,IndHardcover,IndPaperback,IndEbook,Hardcover,Hardcover Seller,Paperback,Paperback Seller,Kindle,Kindle Seller
IT ENDS WITH US, Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,,15.09,10.99,,,,,,15.09,AzPaperback,10.99,AzEbook
VERITY, Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,36.63,17.4,14.99,,,,36.63,AzHardcover,17.4,AzPaperback,14.99,AzEbook
THE INK BLACK HEART, Robert Galbraith,"The sixth book in the Cormoran Strike series. When a cartoonist is murdered, Cormoran and Robin go after a mysterious online figure known as Anomie.",23.99,,19.99,,,,23.99,AzHardcover,,,19.99,AzEbook
WHERE THE CRAWDADS SING, Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",30.32,17.12,9.99,,,,30.32,AzHardcover,17.12,AzPaperback,9.99,AzEbook
CARRIE SOTO IS BACK, Taylor Jenkins Reid,A tennis player comes out of retirement and trains with her father to defend her record.,39.27,17.29,14.99,,17.46,,39.27,AzHardcover,17.29,AzPaperback,14.99,AzEbook
UGLY LOVE, Colleen Hoover,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,,14.57,10.99,,,,,,14.57,AzPaperback,10.99,AzEbook
NOVEMBER 9, Colleen Hoover,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,,16.34,10.99,,,,,,16.34,AzPaperback,10.99,AzEbook
THE SEVEN HUSBANDS OF EVELYN HUGO, Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,34.21,14.7,14.99,,,,34.21,AzHardcover,14.7,AzPaperback,14.99,AzEbook
LOVE ON THE BRAIN, Ali Hazelwood,Heartbeats quicken and neurons fire when a pair of antagonistic scientists work together on a project.,,17.11,13.99,,,,,,17.11,AzPaperback,13.99,AzEbook
OTHER BIRDS, Sarah Addison Allen,"When she takes over her deceased mother’s apartment, Zoey has strange encounters with her new neighbors.",35.43,19.8,15.99,,,,35.43,AzHardcover,19.8,AzPaperback,15.99,AzEbook
FIRE AND BLOOD, George R.R. Martin,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",,,,,,,,,,,,
THE 6:20 MAN, David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",21.99,,18.99,25.9,,,21.99,AzHardcover,,,18.99,AzEbook
THE JUDGE'S LIST, John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,22.88,6.99,9.99,,,,22.88,AzHardcover,6.99,AzPaperback,9.99,AzEbook
ALL GOOD PEOPLE HERE, Ashley Flowers with Alex Kiester,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,29.7,39.6,16.99,30.0,,,29.7,AzHardcover,39.6,AzPaperback,16.99,AzEbook
ALL YOUR PERFECTS, Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,757.99,18.31,10.99,,,,757.99,AzHardcover,18.31,AzPaperback,10.99,AzEbook
DAISY DARKER, Alice Feeney,A family reunion on a tidal island turns deadly as the characters are isolated by a storm and killed one by one.,38.6,24.62,15.99,,20.0,,38.6,AzHardcover,20.0,IndPaperback,15.99,AzEbook
THE HOTEL NANTUCKET, Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,36.63,17.32,13.99,,17.49,,36.63,AzHardcover,17.32,AzPaperback,13.99,AzEbook
LESSONS IN CHEMISTRY, Bonnie Garmus,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,28.68,14.02,13.99,,14.16,,28.68,AzHardcover,14.02,AzPaperback,13.99,AzEbook
BABEL, R.F. Kuang,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",25.98,,17.99,26.24,,,25.98,AzHardcover,,,17.99,AzEbook
THE MIDNIGHT LIBRARY, Matt Haig,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,28.85,14.63,13.99,,20.0,,28.85,AzHardcover,14.63,AzPaperback,13.99,AzEbook
