Title,Authour,Description,Paperback,Paperback Seller,Hardcover,Hardcover Seller,Kindle,Kindle Seller
IT ENDS WITH US, Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,15.09,Amazon,,,10.99,Amazon
VERITY, Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,17.4,Amazon,36.63,Amazon,14.99,Amazon
THE INK BLACK HEART, Robert Galbraith,"The sixth book in the Cormoran Strike series. When a cartoonist is murdered, Cormoran and Robin go after a mysterious online figure known as Anomie.",,,23.99,Amazon,19.99,Amazon
WHERE THE CRAWDADS SING, Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",17.12,Amazon,30.32,Amazon,9.99,Amazon
CARRIE SOTO IS BACK, Taylor Jenkins Reid,A tennis player comes out of retirement and trains with her father to defend her record.,17.29,Amazon,39.27,Amazon,14.99,Amazon
UGLY LOVE, Colleen Hoover,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,14.57,Amazon,,,10.99,Amazon
NOVEMBER 9, Colleen Hoover,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,16.34,Amazon,,,10.99,Amazon
THE SEVEN HUSBANDS OF EVELYN HUGO, Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,14.7,Amazon,34.21,Amazon,14.99,Amazon
LOVE ON THE BRAIN, Ali Hazelwood,Heartbeats quicken and neurons fire when a pair of antagonistic scientists work together on a project.,17.11,Amazon,,,13.99,Amazon
OTHER BIRDS, Sarah Addison Allen,"When she takes over her deceased mother’s apartment, Zoey has strange encounters with her new neighbors.",19.8,Amazon,35.43,Amazon,15.99,Amazon
FIRE AND BLOOD, George R.R. Martin,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",,,,,,
THE 6:20 MAN, David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",,,21.99,Amazon,18.99,Amazon
THE JUDGE'S LIST, John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,6.99,Amazon,22.88,Amazon,9.99,Amazon
ALL GOOD PEOPLE HERE, Ashley Flowers with Alex Kiester,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,39.6,Amazon,29.7,Amazon,16.99,Amazon
ALL YOUR PERFECTS, Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,18.31,Amazon,757.99,Amazon,10.99,Amazon
DAISY DARKER, Alice Feeney,A family reunion on a tidal island turns deadly as the characters are isolated by a storm and killed one by one.,20.0,Indigo,38.6,Amazon,15.99,Amazon
THE HOTEL NANTUCKET, Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,17.32,Amazon,36.63,Amazon,13.99,Amazon
LESSONS IN CHEMISTRY, Bonnie Garmus,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,14.02,Amazon,28.68,Amazon,13.99,Amazon
BABEL, R.F. Kuang,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",,,25.98,Amazon,17.99,Amazon
THE MIDNIGHT LIBRARY, Matt Haig,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,14.63,Amazon,28.85,Amazon,13.99,Amazon
"GIRL, FORGOTTEN", Karin Slaughter,U.S. Marshal Andrea Oliver goes to Longbill Beach to protect a judge and winds up investigating a cold case from 1982.,13.99,Amazon,35.63,Amazon,14.99,Amazon
OVERKILL, Sandra Brown,"A former football star falls for a state prosecutor at the same time he must decide whether to kill his ex-wife, who is on life support, to ensnare her attacker.",17.92,Amazon,25.64,Amazon,18.99,Amazon
THE CHALLENGE, Danielle Steel,Parents of children who have gone missing on a dangerous peak in Montana form a search-and-rescue mission.,,,22.99,Amazon,,
